"PA","Total_Visits"
"Ang Mo Kio",207392
"Bedok",54949
"Bishan",24122
"Bukit Batok",56064
"Bukit Merah",223481
"Bukit Panjang",16734
"Bukit Timah",60512
"Changi",1948
"Choa Chu Kang",98383
"Clementi",130447
"Downtown Core",51995
"Geylang",99326
"Hougang",91483
"Jurong East",94175
"Jurong West",125566
"Kallang",24836
"Marine Parade",9321
"Museum",1183
"Novena",5784
"Orchard",986
"Outram",1609
"Pasir Ris",31810
"Punggol",40441
"Queenstown",240613
"Rochor",2331
"Sembawang",14621
"Sengkang",114989
"Serangoon",38208
"Singapore River",156
"Tampines",441421
"Tanglin",2191
"Toa Payoh",57934
"Western Islands",154
"Western Water Catchment",0
"Woodlands",114200
"Yishun",71328
